family,scientificName,document,field,reference
BROMELIACEAE,"Encholirium fragae",profile,distribution,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil. "
BROMELIACEAE,"Encholirium fragae",profile,ecology,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil. "
BROMELIACEAE,"Encholirium kranzianum",profile,taxonomicNotes,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium kranzianum",profile,population,"•	Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium kranzianum",profile,distribution,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium kranzianum",profile,ecology,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium kranzianum",profile,threats,"Sano, E.E.; Rosa; R.; Brito, J.L.S. & Ferreira, L.G. 2010. Mapeamento do uso do solo e cobertura vegetal - Bioma Cerrado: ano base 2002. Brasília, Distrito Federal. MMA/Série Biodiversidades, 36. 96 p."
BROMELIACEAE,"Encholirum splendidum",profile,taxonomicNotes,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirum splendidum",profile,distribution,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirum splendidum",profile,ecology,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium splendidum",profile,taxonomicNotes,"•	Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium splendidum",profile,population,"•	Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium splendidum",profile,ecology,"•	Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium splendidum",profile,threats,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium splendidum",profile,threats,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
BROMELIACEAE,"Encholirium splendidum",profile,threats,"Forzza R.C. & Leme, E.M.C. 2015. Three new species of Encholirium (Bromeliaceae) from eastern Brazil."
Asteraceae,"Eremanthus praetermissus",profile,taxonomicNotes,"MacLeish, NFF, 1987. Revision of Eremanthus (Compositae: Vernonieae). Ann. Missouri Bot. Gard. 74, 265-290.  "
Asteraceae,"Eremanthus praetermissus",profile,economicValue,"Scolforo, JRS, Oliveira, AD de, Davide, AC, (Org.), 2012. Manejo sustentável da candeia: o caminhar de uma nova experiência em Minas Gerais, primeira ed., Editora UFLA, Lavras."
Asteraceae,"Eremanthus praetermissus",profile,threats,"Buzato, E., 2012. Avaliação de impactos ambientais no município de Ubatuba : uma proposta a partir dos geoindicadores. Universidade de São Paulo."
Asteraceae,"Eremanthus ovatifolius",profile,taxonomicNotes,"MacLeish, NFF, 1987. Revision of Eremanthus (Compositae: Vernonieae). Ann. Missouri Bot. Gard. 74, 265-290."
Asteraceae,"Eremanthus ovatifolius",profile,taxonomicNotes,"Robinson, H, 1995. New combinations and new species in American Vernonieae (Asteraceae). Phytologia 78, 384-399. "
ERIOCAULACEAE,"Paepalanthus capixabensis",profile,taxonomicNotes,"Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus capixabensis",profile,population,"Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus capixabensis",profile,distribution,"Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus capixabensis",profile,ecology,"Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus capixabensis",profile,threats,"Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus capixabensis",profile,threats,"Pastro, M.S. 2012. Estabelecimento de diretrizes para um programa de manejo de nascentes na bacia do Rio Itapemirim – ES. Monografia de Conclusão de Curso, UFRRJ, Seropéidica (RJ)"
ERIOCAULACEAE,"Paepalanthus capixabensis",profile,actions,"Trovó, M.; Nicoletti, C. & Sano, P.T. Paepalanthus capixabensis, a new microendemic species from Espírito Santo, Brazil. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus echinoides",profile,taxonomicNotes,"Trovó et al. (in prep.) Paepalanthus echinoides (Eriocaulaceae), a new species from Central Brazil with notes on leaf and scape anatomy. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus echinoides",profile,population,"Trovó et al. (in prep.) Paepalanthus echinoides (Eriocaulaceae), a new species from Central Brazil with notes on leaf and scape anatomy. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus echinoides",profile,distribution,"Trovó et al. (in prep.) Paepalanthus echinoides (Eriocaulaceae), a new species from Central Brazil with notes on leaf and scape anatomy. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus echinoides",profile,ecology,"Trovó et al. (in prep.) Paepalanthus echinoides (Eriocaulaceae), a new species from Central Brazil with notes on leaf and scape anatomy. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus echinoides",profile,reproduction,"Trovó et al. (in prep.) Paepalanthus echinoides (Eriocaulaceae), a new species from Central Brazil with notes on leaf and scape anatomy. Phytotaxa (in prep.)"
ERIOCAULACEAE,"Paepalanthus echinoides",profile,threats,"Trovó et al. (in prep.) Paepalanthus echinoides (Eriocaulaceae), a new species from Central Brazil with notes on leaf and scape anatomy. Phytotaxa (in prep.)"
