"Familia";"Especie";"Fitofisionomia"
ARECACEAE;Syagrus werdermannii;Savana Arborizada
ARECACEAE;Syagrus werdermannii;Savana Gramíneo-Lenhosa
SYMPLOCACEAE;Symplocos glaberrima;Savana Parque
SYMPLOCACEAE;Symplocos glaberrima;Campinarana Florestada
SYMPLOCACEAE;Symplocos glaberrima;Campinarana Gramíneo-Lenhosa.
SYMPLOCACEAE;Symplocos insolita;Savana Parque
SYMPLOCACEAE;Symplocos saxatilis;Savana Parque
ERIOCAULACEAE;Syngonanthus hygrotrichus;Savana Parque
ERIOCAULACEAE;Syngonanthus hygrotrichus;Savana Gramíneo-Lenhosa
APOCYNACEAE;Tassadia geniculata;Floresta Ombrófila Aberta Submontana
APOCYNACEAE;Tassadia geniculata;Savana Parque
APOCYNACEAE;Tassadia rizzoana;Savana
BROMELIACEAE;Tillandsia sprengeliana;Floresta Estacional Semidecidual
BROMELIACEAE;Tillandsia sprengeliana;Savana Parque
BROMELIACEAE;Tillandsia sprengeliana;Floresta Ombrófila Densa
MELASTOMATACEAE;Trembleya rosmarinoides;Savana Parque
COMMELINACEAE;Tripogandra elata;Savana Florestada
COMMELINACEAE;Tripogandra warmingiana;Floresta Ombrófila Densa Submontana
COMMELINACEAE;Tripogandra warmingiana;Savana Florestada
TURNERACEAE;Turnera cipoensis;Savana
TURNERACEAE;Turnera cipoensis;Savana Parque
TURNERACEAE;Turnera coccinea;Savana Parque
TURNERACEAE;Turnera coccinea;Savana Estépica
TURNERACEAE;Turnera coccinea;Outros
TURNERACEAE;Turnera collotricha;Savana
TURNERACEAE;Turnera collotricha;Savana Arborizada
TURNERACEAE;Turnera collotricha;Savana Parque
TURNERACEAE;Turnera coriacea;Savana Arborizada
TURNERACEAE;Turnera coriacea;Savana Parque
TURNERACEAE;Turnera coriacea;Savana Gramíneo-Lenhosa
TURNERACEAE;Turnera foliosa;Savana Arborizada
TURNERACEAE;Turnera foliosa;Savana Parque
TURNERACEAE;Turnera foliosa;Savana Arborizada
TURNERACEAE;Turnera ignota;Savana
TURNERACEAE;Turnera luetzelburgii;Savana
TURNERACEAE;Turnera luetzelburgii;Savana Arborizada
TURNERACEAE;Turnera luetzelburgii;Savana Parque
TURNERACEAE;Turnera luetzelburgii;Savana Estépica
TURNERACEAE;Turnera luetzelburgii;Outros
TURNERACEAE;Turnera pinifolia;Savana
TURNERACEAE;Turnera pinifolia;Savana Parque
TURNERACEAE;Turnera pinifolia;Savana Gramíneo-Lenhosa
TURNERACEAE;Turnera pinifolia;Savana Arborizada
TURNERACEAE;Turnera revoluta;Savana
TURNERACEAE;Turnera revoluta;Savana Arborizada
TURNERACEAE;Turnera revoluta;Savana Gramíneo-Lenhosa
TURNERACEAE;Turnera revoluta;Savana Parque
TURNERACEAE;Turnera revoluta;Floresta Estacional Sempre-verde de Submontana
TURNERACEAE;Turnera riedeliana;Savana
TURNERACEAE;Turnera riedeliana;Savana Arborizada
TURNERACEAE;Turnera riedeliana;Savana Parque
VELLOZIACEAE;Vellozia crinita;Savana Parque
VELLOZIACEAE;Vellozia exilis;Savana Parque
VELLOZIACEAE;Vellozia luteola;Savana Parque
VELLOZIACEAE;Vellozia maxillarioides;Savana Parque
VELLOZIACEAE;Vellozia maxillarioides;Savana Arborizada
VELLOZIACEAE;Vellozia prolifera;Savana Parque
VELLOZIACEAE;Vellozia sellowii;Savana Parque
VELLOZIACEAE;Vellozia spiralis;Savana Arborizada
VELLOZIACEAE;Vellozia spiralis;Savana Florestada
VELLOZIACEAE;Vellozia spiralis;Savana Parque
VELLOZIACEAE;Vellozia tillandsioides;Savana Parque
VOCHYSIACEAE;Vochysia petraea;Savana
VOCHYSIACEAE;Vochysia pygmaea;Savana Parque
VOCHYSIACEAE;Vochysia rotundifolia;Savana
BROMELIACEAE;Vriesea densiflora;Savana
XYRIDACEAE;Xyris archeri;Refúgios Ecológicos Alto-montanos
XYRIDACEAE;Xyris diaphanobracteata;Refúgios Ecológicos Alto-montanos
XYRIDACEAE;Xyris diaphanobracteata;Savana Estépica Úmida
XYRIDACEAE;Xyris goyazensis;Savana Estépica Úmida
XYRIDACEAE;Xyris goyazensis;Refúgios Ecológicos Alto-montanos
XYRIDACEAE;Xyris lanuginosa;Refúgios Ecológicos Alto-montanos
XYRIDACEAE;Xyris mertensiana;Refúgios Ecológicos Alto-montanos
XYRIDACEAE;Xyris mertensiana;Vegetação de Restinga
XYRIDACEAE;Xyris obcordata;Refúgios Ecológicos Alto-montanos
XYRIDACEAE;Xyris paradisiaca;Refúgios Ecológicos Alto-montanos
XYRIDACEAE;Xyris rupicola;Refúgios Ecológicos Alto-montanos
XYRIDACEAE;Xyris spectabilis;Refúgios Ecológicos Alto-montanos
XYRIDACEAE;Xyris subsetigera;Refúgios Ecológicos Alto-montanos
XYRIDACEAE;Xyris veruina;Savana Gramíneo-Lenhosa
XYRIDACEAE;Xyris vestita;Savana Estépica Úmida
XYRIDACEAE;Xyris vestita;Refúgios Ecológicos Alto-montanos
FABACEAE;Zornia glaziovii;Savana
FABACEAE;Zornia glaziovii;Savana Arborizada
FABACEAE;Zornia glaziovii;Floresta Estacional Sempre-verde de Submontana
FABACEAE;Zornia subsessilis;Savana
FABACEAE;Zornia subsessilis;Savana Parque
